epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1269.54,2.0467,2.68664,1.61792,0.07849,0.13953,0.0322,0.01504,1.90464,8.39447,1.45529,0.00065942,0.00065942,0.00065942
2,2537.8,1.91515,1.6754,1.46357,0.00162,0.12165,0.00091,0.00045,3.18303,3878.99,5.1943,0.00131952,0.00131952,0.00131952
3,3846.08,1.90753,1.55706,1.46949,0.47266,0.40727,0.38989,0.20014,1.83312,4.67476,1.51335,0.00197303,0.00197303,0.00197303
4,5136.12,1.87868,1.4893,1.44094,0.03359,0.7424,0.03097,0.01421,1.86777,275.114,1.45882,0.0019703,0.0019703,0.0019703
5,6438.24,1.83671,1.43977,1.39308,0.3795,0.53309,0.31792,0.15683,1.78223,1.99047,1.43992,0.0019604,0.0019604,0.0019604
6,7755.68,1.79699,1.4285,1.38432,0.55829,0.48837,0.50774,0.23936,1.80304,1.76203,1.42879,0.0019505,0.0019505,0.0019505
7,9002.71,1.77768,1.41904,1.36701,0.62403,0.54919,0.58524,0.27388,1.79474,1.56811,1.41485,0.0019406,0.0019406,0.0019406
8,10260.8,1.75934,1.31378,1.35824,0.55012,0.49911,0.53547,0.27392,1.76361,1.4644,1.40198,0.0019307,0.0019307,0.0019307
9,11487.3,1.74536,1.30666,1.35543,0.51618,0.50626,0.46764,0.21977,1.79188,1.52564,1.3941,0.0019208,0.0019208,0.0019208
10,12741.8,1.72746,1.28034,1.35948,0.55788,0.56708,0.5435,0.27533,1.66934,1.5763,1.35909,0.0019109,0.0019109,0.0019109
11,13999.9,1.7147,1.29488,1.34839,0.61252,0.5653,0.58438,0.30008,1.74706,1.40125,1.43088,0.001901,0.001901,0.001901
12,15243.3,1.70534,1.25274,1.34238,0.64515,0.58544,0.60655,0.31949,1.67083,1.3123,1.36714,0.0018911,0.0018911,0.0018911
13,16487.6,1.71145,1.23147,1.34096,0.61049,0.61002,0.6183,0.32994,1.65971,1.30649,1.34908,0.0018812,0.0018812,0.0018812
14,17727.2,1.67556,1.21269,1.321,0.61576,0.57603,0.58897,0.31479,1.60903,1.37197,1.32697,0.0018713,0.0018713,0.0018713
15,18980.9,1.64603,1.21177,1.30285,0.56056,0.55814,0.57399,0.31554,1.62013,1.32705,1.33332,0.0018614,0.0018614,0.0018614
16,20231.1,1.62584,1.16449,1.30754,0.64842,0.55993,0.58868,0.30317,1.64525,1.33671,1.34491,0.0018515,0.0018515,0.0018515
17,21475.8,1.62134,1.14691,1.29943,0.63545,0.62433,0.62794,0.3392,1.60538,1.2682,1.32174,0.0018416,0.0018416,0.0018416
18,22722,1.61943,1.15184,1.30469,0.67876,0.60857,0.63367,0.32589,1.6859,1.29338,1.37555,0.0018317,0.0018317,0.0018317
19,23981.4,1.62125,1.11582,1.30264,0.66115,0.61717,0.63766,0.35408,1.5951,1.23654,1.31939,0.0018218,0.0018218,0.0018218
20,25244.8,1.58928,1.1015,1.28478,0.62944,0.60773,0.61867,0.33493,1.57324,1.25347,1.32113,0.0018119,0.0018119,0.0018119
21,26489.3,1.57851,1.0867,1.27721,0.56354,0.58497,0.57209,0.31491,1.59031,1.3375,1.31433,0.001802,0.001802,0.001802
22,27743.9,1.55849,1.06566,1.27589,0.56721,0.5814,0.57784,0.31459,1.59617,1.28819,1.32007,0.0017921,0.0017921,0.0017921
23,28981.5,1.55572,1.04106,1.26984,0.61539,0.59823,0.5962,0.32886,1.64742,1.233,1.34878,0.0017822,0.0017822,0.0017822
24,30220.4,1.55628,1.03098,1.25874,0.63055,0.64726,0.65323,0.35395,1.56766,1.18541,1.3148,0.0017723,0.0017723,0.0017723
25,31458.3,1.52831,1.0264,1.25311,0.67647,0.62075,0.63243,0.35724,1.57317,1.18182,1.33957,0.0017624,0.0017624,0.0017624
26,32699.5,1.52241,1.0191,1.24546,0.65252,0.60823,0.62215,0.33717,1.62489,1.18226,1.35323,0.0017525,0.0017525,0.0017525
27,33935.3,1.55211,1.02639,1.26335,0.65852,0.62612,0.63995,0.343,1.66378,1.21825,1.37758,0.0017426,0.0017426,0.0017426
28,35184.8,1.52338,1.01172,1.24472,0.63287,0.58284,0.5819,0.31586,1.64079,1.37178,1.33143,0.0017327,0.0017327,0.0017327
29,36428,1.50333,0.98225,1.23906,0.62635,0.61896,0.61662,0.33644,1.60348,1.23277,1.34347,0.0017228,0.0017228,0.0017228
30,37663.3,1.48822,0.97897,1.23298,0.64826,0.59017,0.61654,0.33231,1.61655,1.22965,1.33364,0.0017129,0.0017129,0.0017129
